Title,IMDb Score,Metacritic Score,Awards Received,Awards Nominated For,IMDb Votes
The Invisibles,7.1,60.0,1.0,3.0,1147.0
Whos Next?,6.6,59.0,18.0,31.0,217014.0
The Platform,7.0,73.0,12.0,24.0,165577.0
Chefs Table: BBQ,7.3,68.0,2.0,4.0,197249.0
Hustlers,6.3,79.0,22.0,71.0,84147.0
Bullitt,7.4,81.0,7.0,9.0,61088.0
The New World,6.7,69.0,6.0,34.0,83031.0
By the Grace of God,7.2,75.0,4.0,19.0,5423.0
Official Secrets,7.3,63.0,5.0,15.0,34686.0
Bloodshot,5.7,44.0,1.0,4.0,61517.0
Neighbors,6.3,68.0,8.0,11.0,287502.0
Vice,7.2,61.0,35.0,133.0,122744.0
Greta,6.0,54.0,1.0,4.0,25644.0
Fearless,7.6,70.0,6.0,13.0,72960.0
My Friend A,6.2,68.0,1.0,3.0,16532.0
Joker,8.4,59.0,112.0,228.0,951938.0
Doctor Sleep,7.3,59.0,7.0,29.0,144369.0
Worlds Most Wanted,7.0,63.0,3.0,24.0,602843.0
Sin City,8.0,74.0,38.0,54.0,739118.0
The Peanut Butter Falcon,7.6,70.0,21.0,16.0,67536.0
Almost Love,5.6,42.0,7.0,1.0,772.0
Knives Out,7.9,82.0,43.0,98.0,459839.0
Be with Me,7.0,67.0,12.0,7.0,1631.0
The Nightingale,7.3,77.0,25.0,34.0,21684.0
Instinct,6.6,43.0,1.0,2.0,31884.0
The Grudge,5.9,49.0,2.0,10.0,138933.0
Bad Boys for Life,6.6,59.0,2.0,12.0,131495.0
Barb Wire,3.3,40.0,1.0,7.0,25195.0
Oh Lucy!,6.8,69.0,3.0,9.0,2805.0
The Call,6.7,51.0,1.0,11.0,113200.0
Father,7.2,30.0,17.0,14.0,11323.0
Surfers Time,5.6,45.0,3.0,17.0,250957.0
Stars,7.7,69.0,21.0,15.0,345122.0
Its Her Day,7.3,69.0,8.0,47.0,460854.0
Meet the Parents,7.0,73.0,7.0,15.0,311557.0
Banana Split,6.2,63.0,3.0,4.0,2384.0
Forsaken,6.3,55.0,1.0,9.0,10537.0
The Kissing Booth 2,5.8,39.0,1.0,1.0,20131.0
Ip Man 4: The Finale,7.0,62.0,12.0,10.0,24753.0
Asako I & II,6.9,68.0,6.0,11.0,2021.0
Never Look Away,7.7,68.0,5.0,20.0,16620.0
Funan,6.9,79.0,3.0,2.0,766.0
Father Soldier Son,7.4,74.0,1.0,1.0,773.0
The Invisibles,7.1,60.0,1.0,3.0,1147.0
Bombshell,6.8,64.0,22.0,58.0,91427.0
A Dogs Journey,7.5,82.0,15.0,5.0,18412.0
Western Stars,7.5,80.0,1.0,2.0,1513.0
The Beach Bum,5.5,55.0,1.0,7.0,18564.0
Id like to Borrow a Girlfriend,6.5,51.0,26.0,69.0,733336.0
Color Out of Space,6.2,70.0,5.0,10.0,33992.0
About Time,7.8,55.0,3.0,9.0,304576.0
Heartbeats,7.1,70.0,6.0,15.0,27508.0
Grace,5.1,52.0,2.0,5.0,7682.0
I See You,6.8,65.0,1.0,1.0,30638.0
The Hater,7.1,61.0,1.0,1.0,10803.0
The Old Guard,6.6,70.0,2.0,16.0,128402.0
The Maid,7.3,82.0,34.0,23.0,5675.0
Little Women,7.8,91.0,74.0,205.0,145961.0
Mamas Boy,6.2,57.0,11.0,19.0,169029.0
Mucho Mucho Amor: The Legend of Walter Mercado,7.3,76.0,2.0,5.0,2750.0
Prince of Darkness,6.7,50.0,1.0,1.0,37755.0
Loving,7.0,79.0,25.0,86.0,32033.0
Hook,6.8,52.0,7.0,22.0,235730.0
Sisters in Law,7.2,71.0,6.0,3.0,377.0
Shaft,5.9,50.0,1.0,13.0,73632.0
Rio,6.9,63.0,3.0,31.0,206870.0
The Silence of Others,8.0,73.0,30.0,13.0,1673.0
My Cousin Rachel,6.0,63.0,1.0,4.0,17819.0
Mug,6.4,70.0,4.0,6.0,2209.0
Chavela,7.8,68.0,6.0,5.0,908.0
Skin,6.9,58.0,1.0,3.0,12388.0
Assassination Nation,5.9,56.0,1.0,4.0,15772.0
Eurovision Song Contest: The Story of Fire Saga,6.5,50.0,1.0,12.0,73403.0
Ordinary People,7.7,86.0,19.0,14.0,47265.0
Athlete A,7.7,85.0,3.0,6.0,7350.0
Red,7.0,60.0,4.0,19.0,290548.0
Human Capital,7.3,63.0,48.0,30.0,11796.0
Its Okay to Not Be Okay,7.3,69.0,8.0,47.0,460854.0
Truman,7.3,81.0,30.0,32.0,11933.0
Jumanji: The Next Level,6.6,58.0,1.0,8.0,189051.0
Wasp Network,5.9,54.0,1.0,3.0,8167.0
Disclosure,6.1,58.0,2.0,2.0,46614.0
Yesterday,6.8,55.0,1.0,15.0,115232.0
The King,7.2,62.0,12.0,28.0,90599.0
Scary Stories to Tell in the Dark,6.2,61.0,4.0,5.0,61293.0
The Land,6.4,50.0,2.0,3.0,1607.0
Ghosts of Cité Soleil,7.1,64.0,2.0,4.0,1731.0
Les Misérables,7.6,63.0,86.0,175.0,309494.0
22 минуты,7.0,71.0,7.0,24.0,346712.0
The Pirogue,6.7,74.0,2.0,2.0,383.0
2 дня,8.5,75.0,36.0,33.0,996880.0
CALM WITH HORSES,6.9,67.0,1.0,17.0,3146.0
Викинг 18+,5.2,24.0,1.0,2.0,53947.0
Честное пионерское 2,8.5,75.0,36.0,33.0,996880.0
Честное пионерское 3,8.2,92.0,61.0,95.0,758769.0
8 первых свиданий,7.0,72.0,11.0,70.0,338803.0
The White Crow,6.6,61.0,1.0,3.0,5246.0
Ma,5.6,53.0,1.0,5.0,40452.0
The Last Black Man in San Francisco,7.3,83.0,17.0,51.0,14687.0
Fast & Furious Presents: Hobbs & Shaw,7.0,61.0,10.0,22.0,368985.0
Good Boys,6.7,60.0,2.0,7.0,60624.0
The Other Lamb,5.2,65.0,2.0,3.0,3268.0
Da 5 Bloods,6.5,82.0,28.0,108.0,39293.0
Cats,2.8,32.0,11.0,7.0,42619.0
Angel Heart,7.3,61.0,2.0,4.0,80843.0
The Third Murder,6.7,68.0,6.0,18.0,5514.0
VFW,6.1,72.0,2.0,1.0,5840.0
Lean on Pete,7.2,80.0,11.0,16.0,11430.0
It Chapter Two,6.5,58.0,5.0,25.0,208462.0
Spelling the Dream,6.9,64.0,1.0,1.0,619.0
The Addams Family,6.9,57.0,5.0,21.0,137664.0
Mirai,7.0,81.0,5.0,34.0,12653.0
Maiden,7.7,82.0,8.0,11.0,1786.0
The Song of Names,6.4,51.0,6.0,7.0,2582.0
Untouchable,6.7,71.0,1.0,6.0,2153.0
Night,6.4,48.0,2.0,8.0,315066.0
Im No Longer Here,6.5,51.0,26.0,69.0,733336.0
Ne Zha,7.5,54.0,20.0,23.0,5843.0
Snowpiercer,7.1,84.0,34.0,105.0,322589.0
Monos,6.9,78.0,29.0,64.0,14433.0
Mystify: Michael Hutchence,7.3,73.0,1.0,7.0,1927.0
Whats Up?,6.4,47.0,5.0,9.0,191853.0
Lets Dance,7.9,82.0,74.0,57.0,205926.0
For Sama,8.5,89.0,69.0,45.0,9084.0
Human Nature,6.4,56.0,2.0,2.0,17500.0
Colette,6.7,74.0,1.0,9.0,19625.0
Ali & Alia,6.8,65.0,10.0,27.0,93996.0
Ophelia,6.6,60.0,4.0,4.0,7790.0
Skin,6.9,58.0,1.0,3.0,12388.0
The Circus,8.1,90.0,1.0,3.0,30357.0
Black Cat. White Cat,8.1,73.0,5.0,5.0,51036.0
The Half Of It,6.9,74.0,2.0,7.0,28540.0
Step,6.8,81.0,9.0,20.0,844.0
Gangsters Paradise: Jerusalema,7.3,53.0,6.0,1.0,10348.0
Dangerous Lies,5.3,51.0,1.0,1.0,14133.0
Summertime,7.0,69.0,1.0,4.0,85.0
Extraction,6.7,56.0,1.0,7.0,160810.0
The Soft Skin,7.5,78.0,1.0,1.0,6910.0
Black and Blue,6.4,54.0,1.0,2.0,16759.0
Circus of Books,7.0,74.0,2.0,3.0,3600.0
What They Had,6.6,69.0,3.0,4.0,3534.0
Sergio,6.1,55.0,1.0,1.0,8217.0
Rambo: Last Blood,6.1,26.0,4.0,8.0,83109.0
Little,5.5,49.0,3.0,6.0,11000.0
Gemini,5.4,71.0,1.0,5.0,4557.0
Wolf,7.3,52.0,7.0,13.0,3532.0
What to Do in Case of Fire,6.8,47.0,2.0,3.0,3546.0
Sing Yesterday for Me,7.1,59.0,3.0,25.0,134434.0
The Front Runner,6.1,61.0,1.0,4.0,11531.0
Fame,6.6,58.0,7.0,16.0,20420.0
All Is True,6.2,59.0,1.0,3.0,3513.0
When Marnie Was There,7.7,72.0,4.0,18.0,33263.0
Pom Poko,7.3,77.0,3.0,1.0,25489.0
Howl’s Moving Castle,8.2,80.0,14.0,20.0,335164.0
From Up on Poppy Hill,7.4,71.0,6.0,11.0,36118.0
Anatomy,6.1,33.0,1.0,3.0,11721.0
The Insult,7.7,72.0,18.0,15.0,14890.0
Bethany Hamilton: Unstoppable,7.4,55.0,3.0,1.0,556.0
Brimstone,7.1,45.0,11.0,12.0,36815.0
The Platform,7.0,73.0,12.0,24.0,165577.0
Overcomer,6.7,17.0,2.0,2.0,3748.0
Extra Ordinary,6.4,72.0,15.0,7.0,7767.0
The Mustang,6.9,77.0,6.0,9.0,9954.0
Them That Follow,5.3,57.0,1.0,5.0,2782.0
Maquia: When the Promised Flower Blooms,7.5,72.0,1.0,1.0,4392.0
Once Upon a Time in Hollywood,7.6,83.0,139.0,355.0,554416.0
Q Ball,6.8,69.0,1.0,2.0,545.0
Miles Davis: Birth of the Cool,7.4,76.0,1.0,7.0,1463.0
Stuff and Dough,7.2,76.0,6.0,4.0,1867.0
Freaks,6.7,63.0,9.0,13.0,27292.0
Sieranevada,7.3,82.0,21.0,19.0,4725.0
The Death of Mr. Lazarescu,7.9,86.0,30.0,14.0,13814.0
Aurora,6.6,63.0,7.0,8.0,1728.0
White Wedding,5.8,60.0,1.0,7.0,577.0
October Sky,7.8,71.0,4.0,11.0,83109.0
Apollo 11,8.2,88.0,55.0,42.0,22107.0
Hotel Mumbai,7.6,62.0,9.0,25.0,53664.0
Lady Macbeth,6.8,76.0,21.0,51.0,19877.0
Nausicaä of the Valley of the Wind,8.1,86.0,3.0,1.0,151542.0
Paradise Hills,5.5,49.0,1.0,21.0,10942.0
Unstoppable,6.8,69.0,1.0,14.0,184884.0
Godzilla: King of the Monsters,6.0,48.0,6.0,13.0,138412.0
The Angry Birds Movie 2,6.4,60.0,1.0,3.0,21495.0
Girl on the Third Floor,4.6,65.0,2.0,2.0,7778.0
System Crasher,7.8,90.0,31.0,24.0,9406.0
Ana. Mon Amour,6.8,63.0,1.0,7.0,1810.0
A Shaun the Sheep Movie: Farmageddon,6.9,79.0,2.0,9.0,9050.0
Puzzle,6.7,66.0,2.0,2.0,6828.0
The Ballad of Lefty Brown,6.3,64.0,1.0,1.0,5510.0
Late Night,6.5,70.0,1.0,9.0,29050.0
Grandmas Wedding,6.7,77.0,5.0,13.0,14680.0
Red Sparrow,6.6,53.0,3.0,8.0,166815.0
Only Yesterday,7.6,90.0,1.0,8.0,27317.0
Uncut Gems,7.4,91.0,22.0,81.0,223217.0
37 Seconds,7.3,62.0,8.0,3.0,2060.0
Miss Americana,7.4,65.0,2.0,4.0,15836.0
The Children Act,6.7,62.0,2.0,4.0,11310.0
Mandy,6.5,81.0,12.0,41.0,64711.0
