Title,IMDb Score,Metacritic Score,Awards Received,Awards Nominated For,IMDb Votes
Midnight Run,7.5,78.0,2.0,4.0,76038.0
Hickok,4.7,49.0,2.0,1.0,2719.0
Free Fire,6.4,63.0,3.0,8.0,42332.0
Megan Leavey,7.1,66.0,1.0,1.0,21739.0
Their Finest,6.8,76.0,1.0,7.0,18062.0
Women on the Verge of a Nervous Breakdown,7.6,85.0,22.0,24.0,36189.0
La La Land,8.0,94.0,242.0,281.0,508025.0
Let It Fall: Los Angeles 1982-1992,7.8,92.0,6.0,3.0,663.0
The Dinner,4.5,57.0,1.0,2.0,7873.0
6 Days,6.2,36.0,1.0,2.0,18656.0
Frank and Lola,5.9,56.0,1.0,2.0,5534.0
A Cure for Wellness,6.4,47.0,4.0,5.0,86916.0
A United Kingdom,6.9,65.0,2.0,4.0,14499.0
Mean Dreams,6.3,64.0,1.0,5.0,4198.0
Field of Dreams,7.5,57.0,7.0,13.0,108380.0
The Crush,5.9,34.0,2.0,3.0,16604.0
Angel Eyes,5.6,39.0,3.0,5.0,22562.0
Adult Life Skills,6.3,49.0,6.0,10.0,3294.0
Strange Weather,5.9,57.0,1.0,1.0,1187.0
Black,6.2,43.0,2.0,2.0,12610.0
Urban Legend,5.6,35.0,1.0,2.0,60496.0
It Comes at Night,6.2,78.0,1.0,11.0,84529.0
Black Butterfly,6.2,43.0,2.0,2.0,12610.0
1922,6.3,70.0,1.0,4.0,53636.0
Smurfs: The Lost Village,6.0,40.0,1.0,6.0,18627.0
Colossal,6.2,70.0,3.0,8.0,59188.0
The Abyss,7.5,62.0,9.0,15.0,162973.0
The Meyerowitz Stories (New and Selected),6.9,79.0,4.0,7.0,42985.0
Norman: The Moderate Rise and Tragic Fall of a New York Fixer,6.1,75.0,1.0,1.0,5695.0
Kidnap,5.9,44.0,2.0,4.0,34029.0
The Death and Life of Marsha P. Johnson,7.3,76.0,3.0,5.0,2311.0
Shinjuku Incident,7.0,63.0,1.0,6.0,11692.0
Patriots Day,7.4,69.0,2.0,3.0,92601.0
Dangerous Liaisons,7.6,74.0,21.0,21.0,64704.0
Asura: The City of Madness,6.6,64.0,6.0,16.0,2307.0
The Handmaiden,8.1,84.0,68.0,104.0,114432.0
Geralds Game,6.6,77.0,4.0,4.0,90638.0
Bobby Sands: 66 Days,7.2,71.0,1.0,3.0,605.0
Gaga: Five Foot Two,7.0,63.0,4.0,1.0,11663.0
The Bad Batch,5.3,62.0,1.0,3.0,26804.0
Fantastic Beasts and Where To Find Them,7.3,66.0,15.0,53.0,411828.0
The Dressmaker,7.1,47.0,15.0,39.0,54330.0
First They Killed My Father,7.2,72.0,9.0,28.0,15792.0
Strong Island,6.4,86.0,13.0,12.0,3545.0
Voice from the Stone,5.2,42.0,1.0,2.0,10590.0
The Visit,6.2,55.0,1.0,14.0,114273.0
xXx: The Return of Xander Cage,5.2,42.0,1.0,6.0,85393.0
The Divergent Series: Allegiant - Part 1,5.7,33.0,3.0,12.0,109596.0
Nocturama,6.4,71.0,5.0,19.0,4403.0
Like Crazy,7.2,74.0,30.0,29.0,8560.0
Autobahn,5.7,33.0,1.0,1.0,15092.0
Carrie Pilby,6.7,52.0,1.0,2.0,8883.0
Graduation,7.3,84.0,11.0,29.0,12303.0
Before the Fall,7.4,65.0,8.0,6.0,14534.0
Assassins Creed,5.7,36.0,2.0,1.0,186279.0
Silence,7.2,79.0,6.0,57.0,100584.0
Hidden Figures,7.8,74.0,37.0,88.0,201864.0
Bleed for This,6.8,62.0,1.0,1.0,25223.0
The Omen 666,5.5,43.0,1.0,7.0,56351.0
Shes Gotta Have It,6.8,79.0,4.0,2.0,12250.0
Burnt,6.6,42.0,6.0,1.0,107296.0
Personal Shopper,6.1,77.0,9.0,24.0,36573.0
Hitman’s Bodyguard,6.9,47.0,1.0,8.0,187512.0
Berlin Syndrome,6.3,70.0,1.0,23.0,22507.0
Beyond the Mat,7.6,73.0,3.0,2.0,8547.0
Fences,7.2,79.0,58.0,116.0,98070.0
Hail. Cesar!,6.3,72.0,13.0,44.0,124219.0
Gold,6.7,49.0,1.0,5.0,57617.0
All These Sleepless Nights,6.6,70.0,5.0,13.0,1547.0
The Accountant,7.3,51.0,3.0,5.0,261135.0
Allied,7.1,60.0,1.0,11.0,142119.0
Icarus,7.9,68.0,8.0,13.0,39982.0
Sing,7.1,59.0,3.0,25.0,134434.0
Daddy Day Camp,3.1,13.0,1.0,5.0,15710.0
Cop Car,6.3,66.0,1.0,4.0,30431.0
Rules Dont Apply,5.7,60.0,3.0,10.0,9835.0
Autopsy of Jane Doe,6.8,65.0,8.0,10.0,100107.0
Hearts in Atlantis,6.9,55.0,2.0,8.0,36858.0
The Danish Girl,7.1,66.0,32.0,76.0,163735.0
Arrival,7.9,81.0,68.0,263.0,595572.0
I. Olga Hepnarova,6.6,57.0,10.0,26.0,2238.0
I Called Him Morgan,7.3,90.0,1.0,7.0,1558.0
Handsome Devil,7.1,60.0,5.0,8.0,11373.0
Office Christmas Party,5.8,42.0,1.0,1.0,71030.0
Miss Sloane,7.5,64.0,1.0,10.0,64875.0
I. Daniel Blake,7.9,78.0,30.0,37.0,54191.0
I Am Not Your Negro,7.9,95.0,31.0,50.0,19727.0
Chasing Coral,8.1,86.0,7.0,17.0,4458.0
The Founder,7.2,66.0,1.0,4.0,126523.0
On the Beach at Night Alone,6.8,80.0,8.0,14.0,3266.0
Steve Jobs,7.2,82.0,28.0,112.0,154669.0
Before I Fall,6.5,58.0,2.0,2.0,46490.0
Apt Pupil,6.7,51.0,6.0,10.0,36090.0
Cooties,5.7,49.0,1.0,4.0,23026.0
Bad Santa 2,5.6,38.0,1.0,2.0,23439.0
Its Only the End of the World,6.9,48.0,13.0,26.0,21026.0
The Circle,5.3,43.0,3.0,1.0,85020.0
Elle,7.1,89.0,68.0,91.0,61259.0
Okja,7.3,75.0,7.0,21.0,106006.0
Wolf Totem,6.7,58.0,19.0,16.0,5567.0
I Am Michael,5.6,56.0,8.0,3.0,5042.0
Sully,7.4,74.0,14.0,36.0,239884.0
20th Century Women,7.3,83.0,12.0,71.0,40135.0
Storks,6.8,56.0,5.0,4.0,56294.0
The Family Fang,6.1,67.0,1.0,1.0,8282.0
After the Storm,7.4,84.0,2.0,13.0,9454.0
Dont Call Me Son,6.8,77.0,5.0,7.0,1367.0
The Age of Shadows,7.1,78.0,13.0,37.0,8591.0
The Stanford Prison Experiment,6.9,67.0,4.0,3.0,36817.0
A Man Called Ove,7.7,70.0,16.0,29.0,47829.0
The Final Master,6.9,72.0,17.0,21.0,2150.0
Mother,7.8,79.0,44.0,46.0,53293.0
Trolls,6.5,55.0,4.0,36.0,72665.0
The Edge of Seventeen,7.3,77.0,8.0,28.0,104892.0
American Pastoral,6.1,43.0,1.0,3.0,15356.0
Headshot,6.3,61.0,2.0,3.0,13141.0
Miss Peregrines Home for Peculiar Children,6.7,57.0,2.0,12.0,156095.0
War on Everyone,5.8,50.0,1.0,1.0,17225.0
Dog Day Afternoon,8.0,86.0,14.0,21.0,236043.0
The Attorney,7.7,55.0,35.0,28.0,5238.0
Doctor Strange,7.5,72.0,19.0,67.0,600090.0
Lion,8.0,69.0,59.0,106.0,214843.0
Joshua: Teenager vs. Superpower,7.1,72.0,1.0,3.0,1295.0
The Girl with All the Gifts,6.6,67.0,8.0,11.0,55007.0
Three,5.9,71.0,3.0,12.0,1693.0
The Visit,6.2,55.0,1.0,14.0,114273.0
Suicide Squad,6.0,40.0,17.0,40.0,603963.0
Moonlight,7.4,99.0,229.0,290.0,274341.0
Crimson Peak,6.5,66.0,6.0,42.0,130637.0
Snowden,7.3,58.0,4.0,7.0,138937.0
Mindhorn,6.3,70.0,1.0,2.0,11307.0
Deepwater Horizon,7.1,68.0,3.0,15.0,152382.0
The Legend of Tarzan,6.2,44.0,2.0,4.0,163745.0
A Monster Calls,7.5,76.0,39.0,53.0,81312.0
Finding Mr. Right,6.4,50.0,16.0,21.0,2316.0
The Client,6.8,65.0,3.0,4.0,60583.0
Hacksaw Ridge,8.1,71.0,53.0,114.0,438736.0
Jackie,6.7,81.0,44.0,165.0,73203.0
Fire in the Blood,7.7,68.0,7.0,2.0,656.0
Bridget Joness Baby,6.5,59.0,2.0,6.0,69174.0
Dear White People,6.1,79.0,14.0,27.0,24389.0
Casting JonBenet,6.1,74.0,2.0,8.0,4969.0
President,6.8,67.0,1.0,10.0,52931.0
Southside With You,6.3,74.0,3.0,12.0,7634.0
Lights Out,6.3,58.0,3.0,9.0,115563.0
D.E.B.S.,5.3,42.0,1.0,2.0,14835.0
The Light Between Oceans,7.2,60.0,1.0,16.0,52446.0
Sandy Wexler,5.2,40.0,1.0,2.0,14855.0
The Walk,7.3,70.0,3.0,17.0,120420.0
Bugsy,6.8,80.0,12.0,41.0,26287.0
Kubo and the Two Strings,7.8,84.0,33.0,64.0,118258.0
Ich Seh Ich Seh,6.7,81.0,21.0,36.0,44537.0
The Tenth Man,5.8,66.0,3.0,2.0,944.0
Two Brothers,7.1,63.0,2.0,2.0,14522.0
Little Women,7.3,87.0,7.0,20.0,52463.0
Oasis: Supersonic,7.9,71.0,2.0,2.0,10364.0
Little Children,7.5,75.0,20.0,61.0,105655.0
Fear Dot Com,3.4,16.0,3.0,3.0,20279.0
In the Cut,5.3,46.0,1.0,2.0,21971.0
The Natural,7.5,61.0,3.0,8.0,44266.0
Blue Thunder,6.4,66.0,1.0,3.0,17590.0
The Remains of the Day,7.8,86.0,17.0,41.0,66429.0
The Squid and the Whale,7.3,82.0,23.0,49.0,78943.0
The Professionals,7.3,75.0,3.0,9.0,14110.0
conjuring 2,7.3,65.0,4.0,13.0,226713.0
Everest,7.1,64.0,1.0,8.0,197872.0
The People vs. Fritz Bauer,7.1,61.0,16.0,10.0,4933.0
Straight Outta Compton,7.8,72.0,29.0,40.0,179971.0
Howards End,7.4,88.0,32.0,49.0,29006.0
Train to Busan,7.6,72.0,32.0,39.0,167271.0
Star Trek Beyond,7.1,68.0,3.0,29.0,228553.0
Blair Witch,5.0,47.0,3.0,7.0,41566.0
Trainwreck,6.2,75.0,5.0,27.0,129494.0
Notes on Blindness,7.1,75.0,4.0,15.0,1969.0
Keanu,6.3,63.0,4.0,5.0,45751.0
Gods of Egypt,5.4,25.0,2.0,14.0,106614.0
Hello. My Name Is Doris,6.6,63.0,2.0,10.0,18757.0
Concussion,7.2,55.0,4.0,16.0,87293.0
Mr. Six,7.0,57.0,24.0,43.0,3372.0
The Great Gilly Hopkins,6.5,47.0,1.0,2.0,4576.0
The Bodyguard,6.3,39.0,10.0,21.0,120087.0
Independence Day: Resurgence,5.2,32.0,3.0,17.0,167102.0
X-Men: Apocalypse,6.9,52.0,1.0,19.0,394203.0
A Hologram for the King,6.1,58.0,2.0,3.0,40519.0
Office,6.1,83.0,6.0,13.0,835.0
Tiger,7.8,94.0,102.0,134.0,253700.0
Midnight Special,6.6,76.0,3.0,14.0,76040.0
I Dont Feel at Home in This World Anymore,6.9,75.0,3.0,3.0,49390.0
Sausage Party,6.1,66.0,1.0,24.0,176325.0
Sinister 2,5.3,32.0,1.0,3.0,48725.0
Miracles from Heaven,7.1,44.0,2.0,5.0,21914.0
The International,6.5,52.0,1.0,1.0,91491.0
The BFG,6.4,66.0,4.0,25.0,77932.0
127 Hours,7.5,82.0,23.0,150.0,348730.0
Life. Animated,7.5,75.0,19.0,25.0,5666.0
David Brent: Life on the Road,6.3,54.0,1.0,2.0,18568.0
The Invasion,5.9,45.0,1.0,2.0,74734.0
Imperial Dreams,6.7,67.0,10.0,6.0,4072.0
Ted 2,6.3,48.0,3.0,4.0,185295.0
Pixels,5.5,27.0,4.0,9.0,132353.0
Pitch Perfect 2,6.4,63.0,9.0,16.0,142651.0
Paul Blart: Mall Cop 2,4.4,13.0,1.0,9.0,34457.0
City of Angels,6.7,54.0,10.0,14.0,113880.0
Equals,6.1,43.0,1.0,5.0,27948.0
A Bigger Splash,6.4,74.0,4.0,19.0,27459.0
Trouble with the Curve,6.8,58.0,2.0,1.0,60370.0
The People vs. Larry Flynt,7.3,79.0,22.0,35.0,88374.0
Batman v Superman: Dawn of Justice,6.4,44.0,14.0,33.0,626413.0
In Darkness,7.3,74.0,11.0,18.0,10077.0
The Wedding Ringer,6.6,35.0,2.0,4.0,71180.0
Aquarius,7.5,88.0,46.0,47.0,18325.0
The Innocents,7.3,78.0,3.0,12.0,9724.0
Midnight Express,7.6,59.0,16.0,14.0,73929.0
Under the Shadow,6.9,83.0,20.0,18.0,24369.0
The 9th Life of Louis Drax,6.3,41.0,2.0,5.0,13515.0
Insidious: Chapter 3,6.1,52.0,3.0,10.0,94054.0
Roxanne,6.6,73.0,3.0,2.0,40973.0
Genius,6.6,56.0,1.0,6.0,17954.0
Carol,7.2,94.0,77.0,248.0,116103.0
Flags of Our Fathers,7.1,79.0,16.0,28.0,117778.0
Superman IV: The Quest for Peace,3.7,24.0,2.0,6.0,43211.0
Menace II Society,7.5,76.0,2.0,4.0,52149.0
American Honey,7.0,80.0,13.0,40.0,38695.0
Swiss Army Man,7.0,64.0,8.0,30.0,106753.0
I Know What You Did Last Summer,5.7,52.0,3.0,7.0,133873.0
Hunt for the Wilderpeople,7.9,81.0,22.0,25.0,112090.0
That Demon Within,6.0,51.0,1.0,13.0,1276.0
Disorder,6.2,66.0,1.0,4.0,5822.0
Pride and Prejudice and Zombies,5.8,45.0,1.0,3.0,51871.0
Shokuzai,7.2,58.0,1.0,1.0,957.0
Unstoppable,6.8,69.0,1.0,14.0,184884.0
Captain America: Civil War,7.8,75.0,16.0,67.0,665625.0
Sand Storm,6.8,74.0,15.0,19.0,3136.0
Room,8.1,86.0,105.0,140.0,374020.0
Cybernatural,5.5,59.0,3.0,6.0,68878.0
Bad Moms,6.2,60.0,3.0,5.0,114707.0
Lupin the 3rd: The Castle of Cagliostro: Special Edition,7.7,71.0,1.0,1.0,27154.0
Other People,6.8,67.0,3.0,11.0,9858.0
Jurassic World,7.0,59.0,15.0,57.0,580133.0
Point Break,5.3,34.0,2.0,3.0,58763.0
White Girl,5.7,65.0,1.0,3.0,9610.0
THX 1138,6.7,75.0,2.0,3.0,48216.0
Purple Rain,6.6,55.0,6.0,4.0,19636.0
Court,7.7,83.0,16.0,7.0,3941.0
The Angry Birds Movie,6.3,43.0,2.0,8.0,80736.0
The Umbrellas of Cherbourg,7.8,86.0,6.0,7.0,23679.0
Pasolini,5.9,71.0,2.0,5.0,3477.0
Maggies Plan,6.2,76.0,1.0,7.0,15974.0
El apóstata,5.8,66.0,2.0,9.0,614.0
Hell or High Water,7.6,88.0,47.0,167.0,205077.0
Divines,7.4,71.0,14.0,12.0,8839.0
Los 33,6.9,55.0,8.0,7.0,35887.0
In the Heart of the Sea,6.9,47.0,1.0,5.0,124165.0
Gods Not Dead 2,4.4,22.0,3.0,3.0,11508.0
I Spy,5.4,35.0,2.0,6.0,49236.0
East Side Sushi,7.1,70.0,11.0,9.0,3285.0
Department Q: The Keeper of Lost Causes,7.2,62.0,3.0,21.0,26291.0
Department Q: The Absent One,7.1,61.0,3.0,14.0,20241.0
Battlefield Earth,2.5,9.0,19.0,3.0,76135.0
Sing Street,7.9,79.0,15.0,43.0,85346.0
Wild Things,6.5,52.0,2.0,4.0,108960.0
The Ivory Game,7.9,73.0,9.0,7.0,2928.0
The Other Side of the Door,5.3,41.0,2.0,3.0,17148.0
Eddie the Eagle,7.4,54.0,2.0,8.0,86151.0
The Nice Guys,7.4,70.0,9.0,34.0,282479.0
Adaptation.,7.7,83.0,65.0,100.0,179200.0
Norman Lear: Just Another Version of You,7.2,66.0,5.0,1.0,359.0
The NeverEnding Story,7.4,46.0,5.0,7.0,132667.0
The Mermaid,6.2,69.0,8.0,13.0,8284.0
Race,7.1,56.0,6.0,8.0,34948.0
The Man Who Knew Infinity,7.2,56.0,1.0,3.0,51722.0
Miles Ahead,6.4,64.0,1.0,13.0,9368.0
Against All Odds,5.9,42.0,2.0,3.0,10987.0
The Art of War,5.7,30.0,2.0,9.0,28748.0
Black Swan,8.0,79.0,98.0,277.0,702201.0
Riding Alone for Thousands of Miles,7.3,73.0,6.0,10.0,4864.0
The Road Home,7.8,71.0,19.0,10.0,12385.0
Warriors of Heaven and Earth,6.3,54.0,8.0,13.0,4078.0
Memories of Murder,8.1,82.0,31.0,4.0,140690.0
Time and Tide,6.9,60.0,1.0,13.0,4195.0
Mountain Patrol: Kekexili,7.6,77.0,21.0,22.0,4725.0
Cut Bank,6.1,44.0,2.0,3.0,11276.0
Furious 7,7.1,67.0,34.0,35.0,359911.0
I. Robot,7.1,59.0,1.0,14.0,499757.0
The Green Mile,8.6,61.0,15.0,37.0,1150612.0
13TH,8.3,83.0,32.0,46.0,31815.0
Twister,6.4,68.0,11.0,17.0,177503.0
Duplicity,6.1,69.0,1.0,4.0,47855.0
American Reunion,6.7,49.0,1.0,4.0,203597.0
Look Whos Talking Now,4.4,26.0,1.0,4.0,27828.0
Vulgaria,6.3,52.0,4.0,7.0,1344.0
Joy,6.6,56.0,8.0,23.0,128453.0
Deadpool,8.0,65.0,28.0,78.0,904840.0
Regresión,5.7,32.0,1.0,2.0,37098.0
The Boy and the Beast,7.7,65.0,2.0,8.0,20529.0
Carlitos Way,7.9,65.0,2.0,9.0,201435.0
Being John Malkovich,7.7,90.0,48.0,79.0,312929.0
The Wolfman,5.8,43.0,4.0,8.0,102817.0
Dragonheart,6.5,49.0,3.0,10.0,91393.0
Miami Vice,6.0,65.0,1.0,9.0,110497.0
The Boy Next Door,4.7,30.0,1.0,6.0,38126.0
The Towering Inferno,7.0,69.0,12.0,13.0,39635.0
Syriana,6.9,76.0,14.0,29.0,125959.0
A Star Is Born,6.2,59.0,7.0,6.0,10069.0
Doctor Zhivago,8.0,69.0,21.0,13.0,70098.0
Ghost Town,6.7,72.0,3.0,2.0,70210.0
Bone Tomahawk,7.1,72.0,8.0,20.0,87368.0
My Big Night,6.0,74.0,3.0,8.0,4087.0
Annie,5.3,33.0,3.0,15.0,34270.0
The Secret Garden,7.3,74.0,3.0,6.0,37104.0
Ace Ventura: Pet Detective,6.9,37.0,5.0,5.0,277756.0
Audrie and Daisy,7.2,73.0,2.0,8.0,5946.0
Mothers Day,5.7,18.0,1.0,6.0,32988.0
Ace Ventura: When Nature Calls,6.4,45.0,7.0,6.0,202960.0
The Witch,6.9,83.0,43.0,64.0,205507.0
Kill Zone 2,6.7,73.0,3.0,6.0,6067.0
Predestination,7.5,69.0,12.0,19.0,253616.0
The Day After Tomorrow,6.4,47.0,6.0,12.0,415828.0
Daddys Home,6.2,42.0,1.0,4.0,108630.0
Legend,6.9,55.0,6.0,10.0,159347.0
The Revenant,8.0,76.0,90.0,187.0,709377.0
Your Highness,5.5,31.0,1.0,3.0,96717.0
On Deadly Ground,4.6,33.0,1.0,6.0,22288.0
High-Rise,5.6,65.0,5.0,13.0,38251.0
Alvin and the Chipmunks: The Road Chip,5.0,33.0,1.0,4.0,17023.0
Sweeney Todd,7.3,83.0,35.0,76.0,344851.0
Knight of Cups,5.7,53.0,3.0,9.0,25003.0
A Perfect Day,6.8,60.0,4.0,21.0,20595.0
Sea Fog,6.9,61.0,16.0,17.0,2960.0
Dukhtar,7.0,73.0,9.0,7.0,2231.0
The President,7.4,67.0,2.0,3.0,1473.0
Hardcore,6.7,51.0,1.0,1.0,86974.0
The Assassination of Jesse James by the Coward Robert Ford,7.5,68.0,26.0,70.0,169756.0
Seventh Son,5.5,30.0,2.0,1.0,71911.0
Kung Fu Panda 3,7.1,66.0,1.0,10.0,135060.0
A Man for All Seasons,7.7,72.0,33.0,9.0,31319.0
Creed,7.6,82.0,45.0,64.0,248611.0
Sweet Bean,7.4,60.0,7.0,7.0,9609.0
11 Minutes,5.6,51.0,8.0,9.0,1732.0
Pale Rider,7.3,61.0,2.0,1.0,53176.0
Behind Enemy Lines,6.4,49.0,1.0,2.0,98675.0
Fifty Shades of Grey,4.1,46.0,9.0,27.0,298346.0
My Golden Days,6.8,87.0,7.0,24.0,3238.0
Son of Saul,7.5,91.0,64.0,62.0,45221.0
The Intern,7.1,51.0,1.0,8.0,222410.0
Dheepan,7.2,76.0,6.0,16.0,14456.0
Tom at the Farm,7.0,67.0,8.0,27.0,16265.0
The Lobster,7.2,82.0,33.0,77.0,219746.0
Brooklyn,7.5,88.0,38.0,157.0,131742.0
The Little Prince,7.7,70.0,8.0,15.0,56890.0
The Lady in the Van,6.7,70.0,1.0,6.0,26464.0
Blackhat,5.4,51.0,1.0,5.0,52196.0
The Theory of Everything,7.7,72.0,26.0,123.0,405523.0
The Peanuts Movie,7.1,67.0,2.0,48.0,42391.0
Victor Frankenstein,6.0,36.0,4.0,1.0,52530.0
The Wedding Planner,5.3,33.0,2.0,6.0,76538.0
State of Play,7.1,64.0,2.0,4.0,139351.0
The Green Inferno,5.3,38.0,1.0,6.0,39120.0
Fifty Shades of Black,3.5,28.0,2.0,4.0,19755.0
Mad Max,6.9,73.0,5.0,7.0,192183.0
Black Mass,6.9,68.0,6.0,24.0,168370.0
Rise of the Legend,6.5,62.0,4.0,14.0,3087.0
The Wave,6.7,68.0,7.0,9.0,33775.0
Unbroken,7.2,59.0,16.0,32.0,150384.0
Desperado,7.2,55.0,1.0,5.0,171730.0
Margarita. with a Straw,7.2,63.0,12.0,10.0,3465.0
Tony Robbins: I Am Not Your Guru,6.7,51.0,3.0,1.0,3956.0
London Has Fallen,5.9,28.0,1.0,2.0,145968.0
The Hateful Eight,7.8,68.0,42.0,116.0,520333.0
The Invitation,6.6,74.0,4.0,14.0,94634.0
The Heat,6.6,60.0,7.0,16.0,162733.0
No Good Deed,5.6,26.0,2.0,2.0,18533.0
Speed 2: Cruise Control,3.9,23.0,1.0,9.0,74931.0
Our Little Sister,7.5,75.0,16.0,24.0,12568.0
Beauty and the Beast,6.4,39.0,1.0,3.0,19749.0
Deliverance,7.7,80.0,3.0,15.0,98865.0
Talk to Her,7.9,86.0,46.0,47.0,104797.0
Kahlil Gibrans The Prophet,7.1,61.0,1.0,10.0,4327.0
Trumbo,7.5,60.0,8.0,45.0,76535.0
Coming Home,7.2,81.0,24.0,48.0,5463.0
Deliver Us from Evil,6.2,40.0,2.0,4.0,71526.0
The Equalizer,7.2,57.0,1.0,9.0,335034.0
Spotlight,8.1,93.0,124.0,143.0,422721.0
Ip Man 3,7.1,57.0,5.0,21.0,49626.0
The Big Short,7.8,81.0,38.0,80.0,367228.0
The Man from U.N.C.L.E.,7.3,56.0,7.0,5.0,276244.0
Fury,7.6,64.0,5.0,23.0,428072.0
Outbreak,6.6,64.0,5.0,5.0,120516.0
Dirty Grandpa,5.9,21.0,2.0,11.0,114069.0
The Treasure,6.7,85.0,5.0,13.0,2758.0
Paranormal Activity 5,4.6,30.0,1.0,4.0,25191.0
Lucy,6.4,61.0,1.0,12.0,448142.0
Snowtime!,6.1,52.0,1.0,2.0,1273.0
Vacation,6.1,34.0,1.0,3.0,99891.0
Maze Runner: The Scorch Trials,6.3,43.0,2.0,5.0,222489.0
The Martian,8.0,80.0,39.0,196.0,761617.0
The Last House on the Left,6.5,42.0,1.0,8.0,85873.0
The Color Purple,7.8,78.0,14.0,23.0,78284.0
J. Edgar,6.5,59.0,5.0,17.0,122937.0
Elizabeth: The Golden Age,6.8,45.0,7.0,33.0,67902.0
The A-Team,6.7,47.0,2.0,4.0,246052.0
Sunshine on Leith,6.6,66.0,1.0,10.0,6484.0
Eraserhead,7.4,87.0,2.0,1.0,103505.0
Funny Girl,7.4,89.0,8.0,16.0,19932.0
The Hunger Games: Mockingjay - Part 2,6.6,65.0,16.0,34.0,288215.0
Bridge of Spies,7.6,81.0,30.0,102.0,288105.0
Harry Potter and the Deathly Hallows: Part 2,8.1,85.0,46.0,94.0,766594.0
Mission: Impossible 5,7.4,75.0,6.0,25.0,343019.0
Out of Sight,7.0,85.0,13.0,15.0,85934.0
Shaun the Sheep Movie,7.3,81.0,5.0,50.0,37421.0
Sex Tape,5.1,36.0,2.0,3.0,107636.0
Epic,6.7,52.0,2.0,21.0,99699.0
Mistress America,6.7,75.0,2.0,14.0,25587.0
Fantastic Four,4.3,27.0,8.0,5.0,152823.0
The Nutty Professor,5.6,62.0,10.0,12.0,110202.0
Hotel Transylvania 2,6.7,44.0,1.0,10.0,108146.0
The Forest,4.8,34.0,1.0,1.0,40174.0
Minions,6.4,56.0,4.0,27.0,212801.0
Sicario,7.6,82.0,15.0,156.0,373197.0
The Pelican Brief,6.6,50.0,1.0,2.0,77461.0
Magic Mike XXL,5.6,60.0,2.0,5.0,52424.0
San Andreas,6.1,43.0,2.0,10.0,212702.0
Belgica,6.7,63.0,4.0,10.0,4183.0
Diary of a Chambermaid,5.5,56.0,1.0,6.0,2621.0
Joint Security Area,7.8,58.0,16.0,6.0,26634.0
The Beauty Inside,7.4,48.0,5.0,14.0,5505.0
Mad Max: Fury Road,8.1,90.0,241.0,231.0,883945.0
The Mummy Returns,6.4,48.0,6.0,19.0,301531.0
Paper Towns,6.3,56.0,4.0,3.0,95464.0
My Girl,6.9,56.0,2.0,5.0,72575.0
Mesrine: Part 2: Public Enemy #1,7.5,72.0,7.0,16.0,28505.0
Mesrine: Part 1: Killer Instinct,7.5,71.0,8.0,15.0,32209.0
The Perfect Storm,6.4,59.0,4.0,27.0,156345.0
Dolphin Tale,6.9,64.0,4.0,4.0,22500.0
Predator,7.8,45.0,3.0,6.0,372408.0
Die Hard,8.2,72.0,8.0,6.0,794595.0
Date Night,6.3,56.0,4.0,8.0,152742.0
Macbeth,6.6,71.0,3.0,25.0,53024.0
Secret in Their Eyes,6.3,45.0,2.0,3.0,44011.0
Dracula Untold,6.3,40.0,3.0,5.0,180432.0
The Assassin,6.3,80.0,36.0,76.0,15717.0
A Good Day to Die Hard,5.3,28.0,5.0,8.0,198517.0
Guilty of Romance,6.8,56.0,1.0,1.0,4524.0
Cold Fish,7.1,66.0,5.0,2.0,11477.0
La Bamba,6.9,65.0,3.0,3.0,28742.0
Victoria,7.6,77.0,17.0,21.0,53152.0
Spy,7.0,75.0,6.0,30.0,229880.0
Pride,7.8,79.0,10.0,20.0,52077.0
Ant-Man,7.3,64.0,4.0,34.0,572212.0
Me and Earl and the Dying Girl,7.7,74.0,17.0,29.0,123666.0
Blade Runner: Theatrical Cut,8.1,84.0,12.0,19.0,695428.0
Princess Mononoke,8.4,76.0,13.0,6.0,345395.0
My Neighbor Totoro,8.2,86.0,5.0,2.0,292758.0
Kaguyahime no monogatari,8.0,89.0,13.0,38.0,39173.0
The Wind Rises,7.8,83.0,26.0,54.0,74405.0
The Secret World of Arrietty,7.6,80.0,11.0,6.0,81279.0
Spirited Away,8.6,96.0,58.0,31.0,653513.0
Elser - Er hätte die Welt verändert,7.0,58.0,4.0,16.0,8396.0
Everything You Always Wanted to Know About Sex But Were Afraid to Ask,6.8,66.0,1.0,1.0,38143.0
Loreak,6.8,63.0,8.0,18.0,2681.0
Crouching Tiger. Hidden Dragon: Sword of Destiny,6.1,47.0,1.0,1.0,17943.0
As Above. So Below,6.2,38.0,1.0,6.0,77655.0
The Monuments Men,6.1,52.0,3.0,3.0,124967.0
Stepmom,6.8,58.0,8.0,7.0,61199.0
Dope,7.2,72.0,6.0,23.0,80909.0
Heaven Is for Real,5.8,47.0,1.0,5.0,25788.0
Jurassic Park III,5.9,42.0,5.0,16.0,296384.0
Last Vegas,6.6,48.0,4.0,1.0,128546.0
Arthur,5.7,36.0,3.0,6.0,50650.0
Love,6.1,51.0,2.0,1.0,48843.0
Song of the Sea,8.1,85.0,11.0,26.0,51993.0
Maggie,5.6,52.0,1.0,4.0,42015.0
Safe House,6.7,52.0,1.0,7.0,206940.0
The Captive,5.9,36.0,1.0,7.0,31132.0
